id,predict
IIIT5k_3000@label-000000001,private
IIIT5k_3000@label-000000002,parking
IIIT5k_3000@label-000000003,salutes
IIIT5k_3000@label-000000004,dolce
IIIT5k_3000@label-000000005,gabbana
IIIT5k_3000@label-000000006,regency
IIIT5k_3000@label-000000007,state
IIIT5k_3000@label-000000008,bank
IIIT5k_3000@label-000000009,of
IIIT5k_3000@label-000000010,india
IIIT5k_3000@label-000000011,kingfisher
IIIT5k_3000@label-000000012,clear
IIIT5k_3000@label-000000013,channel
IIIT5k_3000@label-000000014,universal
IIIT5k_3000@label-000000015,studios
IIIT5k_3000@label-000000016,hollywoodi
IIIT5k_3000@label-000000017,com
IIIT5k_3000@label-000000018,loan
IIIT5k_3000@label-000000019,that
IIIT5k_3000@label-000000020,home
IIIT5k_3000@label-000000021,loans
IIIT5k_3000@label-000000022,jammu
IIIT5k_3000@label-000000023,41km
IIIT5k_3000@label-000000024,83km
IIIT5k_3000@label-000000025,visit
IIIT5k_3000@label-000000026,again
IIIT5k_3000@label-000000027,you
IIIT5k_3000@label-000000028,happy
IIIT5k_3000@label-000000029,journey
IIIT5k_3000@label-000000030,staae
IIIT5k_3000@label-000000031,bank
IIIT5k_3000@label-000000032,of
IIIT5k_3000@label-000000033,india
IIIT5k_3000@label-000000034,sbi
IIIT5k_3000@label-000000035,visa
IIIT5k_3000@label-000000036,platiniesse
IIIT5k_3000@label-000000037,4865
IIIT5k_3000@label-000000038,45bt
IIIT5k_3000@label-000000039,12112
IIIT5k_3000@label-000000040,vijay
IIIT5k_3000@label-000000041,gypsy
IIIT5k_3000@label-000000042,05
IIIT5k_3000@label-000000043,statee
IIIT5k_3000@label-000000044,bank
IIIT5k_3000@label-000000045,fo
IIIT5k_3000@label-000000046,labbipet
IIIT5k_3000@label-000000047,vijayawada
IIIT5k_3000@label-000000048,gruha
IIIT5k_3000@label-000000049,gamya
IIIT5k_3000@label-000000050,aldo
IIIT5k_3000@label-000000051,regency
IIIT5k_3000@label-000000052,land
IIIT5k_3000@label-000000053,shark
IIIT5k_3000@label-000000054,pager
IIIT5k_3000@label-000000055,5
IIIT5k_3000@label-000000056,mammoth
IIIT5k_3000@label-000000057,the
IIIT5k_3000@label-000000058,blubber
IIIT5k_3000@label-000000059,go
IIIT5k_3000@label-000000060,vegetarian
IIIT5k_3000@label-000000061,state
IIIT5k_3000@label-000000062,bank
IIIT5k_3000@label-000000063,sbi
IIIT5k_3000@label-000000064,mutual
IIIT5k_3000@label-000000065,fund
IIIT5k_3000@label-000000066,state
IIIT5k_3000@label-000000067,bank
IIIT5k_3000@label-000000068,of
IIIT5k_3000@label-000000069,india
IIIT5k_3000@label-000000070,state
IIIT5k_3000@label-000000071,bank
IIIT5k_3000@label-000000072,uownrppsocceeeeechhommmmr
IIIT5k_3000@label-000000073,wowntopsttoeeerrrrrn
IIIT5k_3000@label-000000074,delocated
IIIT5k_3000@label-000000075,regency
IIIT5k_3000@label-000000076,state
IIIT5k_3000@label-000000077,by
IIIT5k_3000@label-000000078,uomntopstcefeeennnrm
IIIT5k_3000@label-000000079,wowntopptooeeerrrrro
IIIT5k_3000@label-000000080,charts
IIIT5k_3000@label-000000081,by
IIIT5k_3000@label-000000082,uowntopstccfeeennnro
IIIT5k_3000@label-000000083,poommua
IIIT5k_3000@label-000000084,obloom
IIIT5k_3000@label-000000085,obloom
IIIT5k_3000@label-000000086,freep
IIIT5k_3000@label-000000087,phoneel
IIIT5k_3000@label-000000088,chicago
IIIT5k_3000@label-000000089,8599
IIIT5k_3000@label-000000090,s698
IIIT5k_3000@label-000000091,8550
IIIT5k_3000@label-000000092,81000
IIIT5k_3000@label-000000093,s800
IIIT5k_3000@label-000000094,s6o0
IIIT5k_3000@label-000000095,your
IIIT5k_3000@label-000000096,advertising
IIIT5k_3000@label-000000097,need
IIIT5k_3000@label-000000098,get
IIIT5k_3000@label-000000099,a
IIIT5k_3000@label-000000100,200
IIIT5k_3000@label-000000101,m
IIIT5k_3000@label-000000102,m
IIIT5k_3000@label-000000103,this
IIIT5k_3000@label-000000104,is
IIIT5k_3000@label-000000105,it
IIIT5k_3000@label-000000106,yes
IIIT5k_3000@label-000000107,no
IIIT5k_3000@label-000000108,regency
IIIT5k_3000@label-000000109,mac
IIIT5k_3000@label-000000110,store
IIIT5k_3000@label-000000111,wrought
IIIT5k_3000@label-000000112,signboards
IIIT5k_3000@label-000000113,johnny
IIIT5k_3000@label-000000114,depp
IIIT5k_3000@label-000000115,is
IIIT5k_3000@label-000000116,march
IIIT5k_3000@label-000000117,stavion
IIIT5k_3000@label-000000118,stop
IIIT5k_3000@label-000000119,state
IIIT5k_3000@label-000000120,services
IIIT5k_3000@label-000000121,banking
IIIT5k_3000@label-000000122,bank
IIIT5k_3000@label-000000123,of
IIIT5k_3000@label-000000124,india
IIIT5k_3000@label-000000125,home
IIIT5k_3000@label-000000126,about
IIIT5k_3000@label-000000127,us
IIIT5k_3000@label-000000128,products
IIIT5k_3000@label-000000129,welcome
IIIT5k_3000@label-000000130,jazz
IIIT5k_3000@label-000000131,p
IIIT5k_3000@label-000000132,next
IIIT5k_3000@label-000000133,exit
IIIT5k_3000@label-000000134,venus
IIIT5k_3000@label-000000135,its
IIIT5k_3000@label-000000136,the
IIIT5k_3000@label-000000137,cola
IIIT5k_3000@label-000000138,yourd
IIIT5k_3000@label-000000139,better
IIIT5k_3000@label-000000140,tell
IIIT5k_3000@label-000000141,onto
IIIT5k_3000@label-000000142,bartelt
IIIT5k_3000@label-000000143,rd
IIIT5k_3000@label-000000144,dobies
IIIT5k_3000@label-000000145,wouldnt
IIIT5k_3000@label-000000146,be
IIIT5k_3000@label-000000147,caught
IIIT5k_3000@label-000000148,pjp
IIIT5k_3000@label-000000149,jiaa
IIIT5k_3000@label-000000150,zombies
IIIT5k_3000@label-000000151,attention
IIIT5k_3000@label-000000152,with
IIIT5k_3000@label-000000153,billboards
IIIT5k_3000@label-000000154,koleston
IIIT5k_3000@label-000000155,jv
IIIT5k_3000@label-000000156,hotel
IIIT5k_3000@label-000000157,climate
IIIT5k_3000@label-000000158,atmosphere
IIIT5k_3000@label-000000159,affects
IIIT5k_3000@label-000000160,everyone
IIIT5k_3000@label-000000161,36420390t1ps
IIIT5k_3000@label-000000162,greenhouse
IIIT5k_3000@label-000000163,gases
IIIT5k_3000@label-000000164,in
IIIT5k_3000@label-000000165,our
IIIT5k_3000@label-000000166,toilet
IIIT5k_3000@label-000000167,co
IIIT5k_3000@label-000000168,creen
IIIT5k_3000@label-000000169,who
IIIT5k_3000@label-000000170,is
IIIT5k_3000@label-000000171,saltz
IIIT5k_3000@label-000000172,july
IIIT5k_3000@label-000000173,23
IIIT5k_3000@label-000000174,18
IIIT5k_3000@label-000000175,19
IIIT5k_3000@label-000000176,25
IIIT5k_3000@label-000000177,26
IIIT5k_3000@label-000000178,44
IIIT5k_3000@label-000000179,payloads
IIIT5k_3000@label-000000180,out
IIIT5k_3000@label-000000181,5
IIIT5k_3000@label-000000182,roaches
IIIT5k_3000@label-000000183,recommend
IIIT5k_3000@label-000000184,their
IIIT5k_3000@label-000000185,friend
IIIT5k_3000@label-000000186,as
IIIT5k_3000@label-000000187,dinee
IIIT5k_3000@label-000000188,lork
IIIT5k_3000@label-000000189,burkh
IIIT5k_3000@label-000000190,pitt
IIIT5k_3000@label-000000191,let
IIIT5k_3000@label-000000192,the
IIIT5k_3000@label-000000193,madness
IIIT5k_3000@label-000000194,begin
IIIT5k_3000@label-000000195,no
IIIT5k_3000@label-000000196,state
IIIT5k_3000@label-000000197,of
IIIT5k_3000@label-000000198,india
IIIT5k_3000@label-000000199,kafe
IIIT5k_3000@label-000000200,crlsbery
IIIT5k_3000@label-000000201,baby
IIIT5k_3000@label-000000202,2
IIIT5k_3000@label-000000203,cate
IIIT5k_3000@label-000000204,six
IIIT5k_3000@label-000000205,peters
IIIT5k_3000@label-000000206,are
IIIT5k_3000@label-000000207,retter
IIIT5k_3000@label-000000208,one
IIIT5k_3000@label-000000209,the
IIIT5k_3000@label-000000210,vote
IIIT5k_3000@label-000000211,la
IIIT5k_3000@label-000000212,times
IIIT5k_3000@label-000000213,endorses
IIIT5k_3000@label-000000214,carmen
IIIT5k_3000@label-000000215,on
IIIT5k_3000@label-000000216,march
IIIT5k_3000@label-000000217,3rd
IIIT5k_3000@label-000000218,next
IIIT5k_3000@label-000000219,the
IIIT5k_3000@label-000000220,eagle
IIIT5k_3000@label-000000221,river
IIIT5k_3000@label-000000222,chain
IIIT5k_3000@label-000000223,of
IIIT5k_3000@label-000000224,lakes
IIIT5k_3000@label-000000225,8779453966
IIIT5k_3000@label-000000226,time
IIIT5k_3000@label-000000227,visitar
IIIT5k_3000@label-000000228,wild
IIIT5k_3000@label-000000229,eagle
IIIT5k_3000@label-000000230,lodge
IIIT5k_3000@label-000000231,eagle
IIIT5k_3000@label-000000232,on
IIIT5k_3000@label-000000233,sale
IIIT5k_3000@label-000000234,now
IIIT5k_3000@label-000000235,itunes
IIIT5k_3000@label-000000236,advertise
IIIT5k_3000@label-000000237,here
IIIT5k_3000@label-000000238,18008091160
IIIT5k_3000@label-000000239,freewaybillboadd
IIIT5k_3000@label-000000240,com
IIIT5k_3000@label-000000241,sbi
IIIT5k_3000@label-000000242,car
IIIT5k_3000@label-000000243,loan
IIIT5k_3000@label-000000244,j
IIIT5k_3000@label-000000245,could
IIIT5k_3000@label-000000246,working
IIIT5k_3000@label-000000247,so
IIIT5k_3000@label-000000248,much
IIIT5k_3000@label-000000249,harder
IIIT5k_3000@label-000000250,go
IIIT5k_3000@label-000000251,theres
IIIT5k_3000@label-000000252,a
IIIT5k_3000@label-000000253,great
IIIT5k_3000@label-000000254,camp
IIIT5k_3000@label-000000255,out
IIIT5k_3000@label-000000256,there
IIIT5k_3000@label-000000257,summer
IIIT5k_3000@label-000000258,theres
IIIT5k_3000@label-000000259,grest
IIIT5k_3000@label-000000260,camp
IIIT5k_3000@label-000000261,out
IIIT5k_3000@label-000000262,theres
IIIT5k_3000@label-000000263,summer
IIIT5k_3000@label-000000264,joess
IIIT5k_3000@label-000000265,think
IIIT5k_3000@label-000000266,big
IIIT5k_3000@label-000000267,imax
IIIT5k_3000@label-000000268,snip
IIIT5k_3000@label-000000269,snip
IIIT5k_3000@label-000000270,sip
IIIT5k_3000@label-000000271,advertising
IIIT5k_3000@label-000000272,advertising
IIIT5k_3000@label-000000273,monster
IIIT5k_3000@label-000000274,bike
IIIT5k_3000@label-000000275,sale
